Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Price_per_Unit,Units_Sold,Total_Sales,Operating_Profit,Operating_Margin,Sales_Method
West Gear,1128299,2/17/2021,West,Oregon,Portland,Men's Street Footwear,35,500,"$17,500.00","$7,000.00",40%,In-store
West Gear,1128299,2/17/2021,West,Oregon,Portland,Men's Athletic Footwear,45,400,"$18,000.00","$7,200.00",40%,In-store
West Gear,1128299,2/17/2021,West,Oregon,Portland,Women's Street Footwear,45,400,"$18,000.00","$7,200.00",40%,In-store
West Gear,1128299,2/17/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,45,250,"$11,250.00","$4,500.00",40%,In-store
West Gear,1128299,2/17/2021,South,Louisiana,New Orleans,Men's Apparel,50,175,"$8,750.00","$3,937.50",45%,In-store
West Gear,1128299,2/17/2021,South,Louisiana,New Orleans,Women's Apparel,45,375,"$16,875.00","$5,906.25",35%,In-store
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,45,525,"$23,625.00","$9,450.00",40%,In-store
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,55,375,"$20,625.00","$8,250.00",40%,In-store
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Women's Street Footwear,60,400,"$24,000.00","$9,600.00",40%,In-store
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,55,300,"$16,500.00","$6,600.00",40%,In-store
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Men's Apparel,60,150,"$9,000.00","$4,050.00",45%,In-store
West Gear,1128299,3/16/2021,South,Louisiana,New Orleans,Women's Apparel,45,350,"$15,750.00","$5,512.50",35%,In-store
West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Men's Street Footwear,50,525,"$26,250.00","$10,500.00",40%,In-store
West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,55,325,"$17,875.00","$7,150.00",40%,In-store
West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,55,375,"$20,625.00","$8,250.00",40%,In-store
West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,40,275,"$11,000.00","$4,400.00",40%,In-store
West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Men's Apparel,45,175,"$7,875.00","$3,543.75",45%,In-store
West Gear,1128299,4/17/2021,South,Louisiana,New Orleans,Women's Apparel,60,350,"$21,000.00","$7,350.00",35%,In-store
West Gear,1128299,5/18/2021,South,Louisiana,New Orleans,Men's Street Footwear,45,550,"$24,750.00","$9,900.00",40%,In-store
West Gear,1128299,5/18/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,50,400,"$20,000.00","$8,000.00",40%,In-store
West Gear,1128299,5/18/2021,South,Louisiana,New Orleans,Women's Street Footwear,50,400,"$20,000.00","$8,000.00",40%,In-store
West Gear,1128299,5/18/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,45,325,"$14,625.00","$5,850.00",40%,In-store
West Gear,1128299,5/18/2021,South,Louisiana,New Orleans,Men's Apparel,40,225,"$9,000.00","$4,050.00",45%,In-store
West Gear,1128299,5/18/2021,South,Louisiana,New Orleans,Women's Apparel,65,575,"$37,375.00","$13,081.25",35%,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Men's Street Footwear,60,825,"$49,500.00","$19,800.00",40%,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,70,700,"$49,000.00","$19,600.00",40%,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,85,700,"$59,500.00","$23,800.00",40%,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,85,575,"$48,875.00","$19,550.00",40%,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Men's Apparel,95,450,"$42,750.00","$19,237.50",45%,Online
West Gear,1128299,6/17/2021,South,Louisiana,New Orleans,Women's Apparel,110,750,"$82,500.00","$28,875.00",35%,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,90,900,"$81,000.00","$32,400.00",40%,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,95,750,"$71,250.00","$28,500.00",40%,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Street Footwear,95,700,"$66,500.00","$26,600.00",40%,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,90,600,"$54,000.00","$21,600.00",40%,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Apparel,95,650,"$61,750.00","$27,787.50",45%,Online
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Women's Apparel,110,650,"$71,500.00","$25,025.00",35%,Online
West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Men's Street Footwear,95,850,"$80,750.00","$32,300.00",40%,Online
West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,85,825,"$70,125.00","$28,050.00",40%,Online
West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,75,700,"$52,500.00","$21,000.00",40%,Online
West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,75,475,"$35,625.00","$14,250.00",40%,Online
West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Men's Apparel,65,475,"$30,875.00","$13,893.75",45%,Online
West Gear,1128299,8/17/2021,South,Louisiana,New Orleans,Women's Apparel,70,300,"$21,000.00","$7,350.00",35%,Online
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Men's Street Footwear,45,500,"$22,500.00","$9,000.00",40%,Online
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,50,500,"$25,000.00","$10,000.00",40%,Online
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Women's Street Footwear,45,300,"$13,500.00","$5,400.00",40%,Online
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,45,250,"$11,250.00","$4,500.00",40%,Online
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Men's Apparel,55,275,"$15,125.00","$6,806.25",45%,Online
West Gear,1128299,9/18/2021,South,Louisiana,New Orleans,Women's Apparel,40,300,"$12,000.00","$4,200.00",35%,Online
West Gear,1128299,10/17/2021,South,Louisiana,New Orleans,Men's Street Footwear,35,400,"$14,000.00","$5,600.00",40%,Online
West Gear,1128299,10/17/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,50,575,"$28,750.00","$11,500.00",40%,Online
West Gear,1128299,10/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,45,400,"$18,000.00","$7,200.00",40%,Online
West Gear,1128299,10/17/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,40,375,"$15,000.00","$6,000.00",40%,Online
West Gear,1128299,10/17/2021,South,Louisiana,New Orleans,Men's Apparel,50,350,"$17,500.00","$7,875.00",45%,Online
West Gear,1128299,10/17/2021,South,Louisiana,New Orleans,Women's Apparel,55,400,"$22,000.00","$7,700.00",35%,Online
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Men's Street Footwear,40,625,"$25,000.00","$10,000.00",40%,Online
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,45,700,"$31,500.00","$12,600.00",40%,Online
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Women's Street Footwear,40,525,"$21,000.00","$8,400.00",40%,Online
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,50,500,"$25,000.00","$10,000.00",40%,Online
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Men's Apparel,70,475,"$33,250.00","$14,962.50",45%,Online
West Gear,1128299,11/17/2021,South,Louisiana,New Orleans,Women's Apparel,85,600,"$51,000.00","$17,850.00",35%,Online
West Gear,1128299,12/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,70,800,"$56,000.00","$22,400.00",40%,Online
West Gear,1128299,12/16/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,80,800,"$64,000.00","$25,600.00",40%,Online
Foot Locker,1128299,12/16/2021,South,Louisiana,New Orleans,Women's Street Footwear,75,600,"$45,000.00","$18,000.00",40%,Online
Foot Locker,1128299,12/16/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,75,600,"$45,000.00","$18,000.00",40%,Online
Foot Locker,1128299,12/16/2021,South,Louisiana,New Orleans,Men's Apparel,85,525,"$44,625.00","$20,081.25",45%,Online
Foot Locker,1128299,12/16/2021,South,Louisiana,New Orleans,Women's Apparel,90,625,"$56,250.00","$19,687.50",35%,Online
Foot Locker,1197831,1/5/2021,South,Louisiana,New Orleans,Men's Street Footwear,20,675,"$13,500.00","$4,050.00",30%,Online
Foot Locker,1197831,1/5/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,30,675,"$20,250.00","$6,075.00",30%,Online
Foot Locker,1197831,1/5/2021,South,Louisiana,New Orleans,Women's Street Footwear,30,475,"$14,250.00","$4,275.00",30%,Online
Foot Locker,1197831,1/5/2021,South,Louisiana,New Orleans,Women's Athletic Footwear,35,475,"$16,625.00","$6,650.00",40%,Online
Foot Locker,1197831,1/5/2021,South,Louisiana,New Orleans,Men's Apparel,40,325,"$13,000.00","$3,250.00",25%,Online
West Gear,1197831,1/5/2021,South,Louisiana,New Orleans,Women's Apparel,35,475,"$16,625.00","$7,481.25",45%,Online
Foot Locker,1197831,2/4/2021,South,Louisiana,New Orleans,Men's Street Footwear,25,625,"$15,625.00","$4,687.50",30%,Online
Foot Locker,1197831,2/4/2021,South,Louisiana,New Orleans,Men's Athletic Footwear,35,600,"$21,000.00","$6,300.00",30%,Online
Foot Locker,1197831,2/4/2021,South,Louisiana,New Orleans,Women's Street Footwear,35,425,"$14,875.00","$4,462.50",30%,Online
Foot Locker,1197831,2/4/2021,West,Idaho,Boise,Women's Athletic Footwear,35,375,"$13,125.00","$5,250.00",40%,Online
Foot Locker,1197831,2/4/2021,West,Idaho,Boise,Men's Apparel,40,250,"$10,000.00","$2,500.00",25%,Online
Foot Locker,1197831,2/4/2021,West,Idaho,Boise,Women's Apparel,35,450,"$15,750.00","$7,087.50",45%,Online
Foot Locker,1197831,3/6/2021,West,Idaho,Boise,Men's Street Footwear,30,625,"$18,750.00","$6,562.50",35%,Online
Foot Locker,1197831,3/6/2021,West,Idaho,Boise,Men's Athletic Footwear,40,625,"$25,000.00","$8,750.00",35%,Online
Foot Locker,1197831,3/6/2021,West,Idaho,Boise,Women's Street Footwear,30,450,"$13,500.00","$4,725.00",35%,Online
Foot Locker,1197831,3/6/2021,West,Idaho,Boise,Women's Athletic Footwear,35,350,"$12,250.00","$5,512.50",45%,Online
West Gear,1197831,3/6/2021,West,Idaho,Boise,Men's Apparel,40,250,"$10,000.00","$3,000.00",30%,Online
West Gear,1197831,3/6/2021,West,Idaho,Boise,Women's Apparel,35,400,"$14,000.00","$7,000.00",50%,Online
West Gear,1197831,4/5/2021,West,Idaho,Boise,Men's Street Footwear,20,650,"$13,000.00","$4,550.00",35%,Online
West Gear,1197831,4/5/2021,West,Idaho,Boise,Men's Athletic Footwear,30,650,"$19,500.00","$6,825.00",35%,Online
West Gear,1197831,4/5/2021,West,Idaho,Boise,Women's Street Footwear,25,475,"$11,875.00","$4,156.25",35%,Online
West Gear,1197831,4/5/2021,West,Idaho,Boise,Women's Athletic Footwear,30,375,"$11,250.00","$5,062.50",45%,Online
West Gear,1197831,4/5/2021,West,Idaho,Boise,Men's Apparel,35,275,"$9,625.00","$2,887.50",30%,Online
West Gear,1197831,4/5/2021,West,Idaho,Boise,Women's Apparel,30,550,"$16,500.00","$8,250.00",50%,Online
West Gear,1197831,5/5/2021,West,Idaho,Boise,Men's Street Footwear,20,700,"$14,000.00","$4,900.00",35%,Online
West Gear,1197831,5/5/2021,West,Idaho,Boise,Men's Athletic Footwear,30,725,"$21,750.00","$7,612.50",35%,Online
West Gear,1197831,5/5/2021,West,Idaho,Boise,Women's Street Footwear,25,575,"$14,375.00","$5,031.25",35%,Online
West Gear,1197831,5/5/2021,West,Idaho,Boise,Women's Athletic Footwear,35,500,"$17,500.00","$7,875.00",45%,Online
West Gear,1197831,5/5/2021,West,Idaho,Boise,Men's Apparel,50,400,"$20,000.00","$6,000.00",30%,Online
West Gear,1197831,5/5/2021,West,Idaho,Boise,Women's Apparel,45,750,"$33,750.00","$16,875.00",50%,Online
West Gear,1197831,6/4/2021,West,Idaho,Boise,Men's Street Footwear,45,750,"$33,750.00","$11,812.50",35%,Online
West Gear,1197831,6/4/2021,West,Idaho,Boise,Men's Athletic Footwear,50,750,"$37,500.00","$13,125.00",35%,Online
West Gear,1197831,6/4/2021,West,Idaho,Boise,Women's Street Footwear,50,600,"$30,000.00","$10,500.00",35%,Online
West Gear,1197831,6/4/2021,West,Idaho,Boise,Women's Athletic Footwear,50,550,"$27,500.00","$12,375.00",45%,Online
West Gear,1197831,6/4/2021,West,Idaho,Boise,Men's Apparel,55,450,"$24,750.00","$7,425.00",30%,Online
West Gear,1197831,6/4/2021,West,Idaho,Boise,Women's Apparel,60,825,"$49,500.00","$24,750.00",50%,Online
West Gear,1197831,7/6/2021,West,Idaho,Boise,Men's Street Footwear,50,775,"$38,750.00","$15,500.00",40%,Online
West Gear,1197831,7/6/2021,West,Idaho,Boise,Men's Athletic Footwear,55,775,"$42,625.00","$17,050.00",40%,Online
West Gear,1197831,7/6/2021,West,Idaho,Boise,Women's Street Footwear,50,925,"$46,250.00","$18,500.00",40%,Online
West Gear,1197831,7/6/2021,West,Idaho,Boise,Women's Athletic Footwear,50,525,"$26,250.00","$13,125.00",50%,Online
West Gear,1197831,7/6/2021,West,Idaho,Boise,Men's Apparel,55,525,"$28,875.00","$10,106.25",35%,Online
Foot Locker,1197831,7/6/2021,West,Idaho,Boise,Women's Apparel,65,800,"$52,000.00","$28,600.00",55%,Online
Foot Locker,1197831,8/8/2021,West,Idaho,Boise,Men's Street Footwear,50,750,"$37,500.00","$15,000.00",40%,Online
Foot Locker,1197831,8/8/2021,West,Idaho,Boise,Men's Athletic Footwear,55,750,"$41,250.00","$16,500.00",40%,Online
Foot Locker,1197831,8/8/2021,West,Idaho,Boise,Women's Street Footwear,50,925,"$46,250.00","$18,500.00",40%,Online
Foot Locker,1197831,8/8/2021,West,Idaho,Boise,Women's Athletic Footwear,50,475,"$23,750.00","$11,875.00",50%,Online
Sports Direct,1197831,8/8/2021,West,Idaho,Boise,Men's Apparel,55,475,"$26,125.00","$9,143.75",35%,Online
Sports Direct,1197831,8/8/2021,West,Idaho,Boise,Women's Apparel,60,725,"$43,500.00","$23,925.00",55%,Online
Sports Direct,1197831,9/5/2021,West,Idaho,Boise,Men's Street Footwear,55,675,"$37,125.00","$14,850.00",40%,Online
Sports Direct,1197831,9/5/2021,West,Idaho,Boise,Men's Athletic Footwear,55,625,"$34,375.00","$13,750.00",40%,Online
Sports Direct,1197831,9/5/2021,West,Idaho,Boise,Women's Street Footwear,60,675,"$40,500.00","$16,200.00",40%,Online
Sports Direct,1197831,9/5/2021,West,Idaho,Boise,Women's Athletic Footwear,60,400,"$24,000.00","$12,000.00",50%,Online
Sports Direct,1197831,9/5/2021,West,Idaho,Boise,Men's Apparel,55,400,"$22,000.00","$7,700.00",35%,Online
Sports Direct,1197831,9/5/2021,West,Idaho,Boise,Women's Apparel,50,625,"$31,250.00","$17,187.50",55%,Online
Sports Direct,1197831,10/4/2021,West,Idaho,Boise,Men's Street Footwear,40,575,"$23,000.00","$9,200.00",40%,Online
Sports Direct,1197831,10/4/2021,West,Idaho,Boise,Men's Athletic Footwear,40,575,"$23,000.00","$9,200.00",40%,Online
Sports Direct,1197831,10/4/2021,West,Idaho,Boise,Women's Street Footwear,45,525,"$23,625.00","$9,450.00",40%,Online
Sports Direct,1197831,10/4/2021,West,Idaho,Boise,Women's Athletic Footwear,45,375,"$16,875.00","$8,437.50",50%,Online
Sports Direct,1197831,10/4/2021,West,Idaho,Boise,Men's Apparel,35,350,"$12,250.00","$4,287.50",35%,Online
Sports Direct,1197831,10/4/2021,West,Idaho,Boise,Women's Apparel,45,525,"$23,625.00","$12,993.75",55%,Online
Sports Direct,1197831,11/5/2021,West,Idaho,Boise,Men's Street Footwear,35,675,"$23,625.00","$9,450.00",40%,Online
Sports Direct,1197831,11/5/2021,West,Idaho,Boise,Men's Athletic Footwear,35,675,"$23,625.00","$9,450.00",40%,Online
Sports Direct,1197831,11/5/2021,West,Idaho,Boise,Women's Street Footwear,60,600,"$36,000.00","$14,400.00",40%,Online
Sports Direct,1197831,11/5/2021,West,Idaho,Boise,Women's Athletic Footwear,60,450,"$27,000.00","$13,500.00",50%,Online
Sports Direct,1197831,11/5/2021,West,Idaho,Boise,Men's Apparel,55,425,"$23,375.00","$8,181.25",35%,Online
Sports Direct,1197831,11/5/2021,West,Idaho,Boise,Women's Apparel,65,625,"$40,625.00","$22,343.75",55%,Online
Foot Locker,1197831,12/4/2021,West,Idaho,Boise,Men's Street Footwear,55,775,"$42,625.00","$17,050.00",40%,Online
Foot Locker,1197831,12/4/2021,West,Idaho,Boise,Men's Athletic Footwear,55,775,"$42,625.00","$17,050.00",40%,Online
Foot Locker,1197831,12/4/2021,West,Idaho,Boise,Women's Street Footwear,60,675,"$40,500.00","$16,200.00",40%,Online
Foot Locker,1197831,12/4/2021,West,Idaho,Boise,Women's Athletic Footwear,60,525,"$31,500.00","$15,750.00",50%,Online
Foot Locker,1197831,12/4/2021,West,Idaho,Boise,Men's Apparel,55,475,"$26,125.00","$9,143.75",35%,Online
Foot Locker,1197831,12/4/2021,West,Idaho,Boise,Women's Apparel,65,725,"$47,125.00","$25,918.75",55%,Online
Foot Locker,1128299,1/23/2021,West,Idaho,Boise,Men's Street Footwear,30,425,"$12,750.00","$4,462.50",35%,Online
Foot Locker,1128299,1/23/2021,West,Idaho,Boise,Men's Athletic Footwear,40,425,"$17,000.00","$6,800.00",40%,Online
Foot Locker,1128299,1/23/2021,West,Idaho,Boise,Women's Street Footwear,40,425,"$17,000.00","$5,950.00",35%,Online
Foot Locker,1128299,1/23/2021,West,Idaho,Boise,Women's Athletic Footwear,40,275,"$11,000.00","$3,850.00",35%,Online
Foot Locker,1128299,1/23/2021,West,Idaho,Boise,Men's Apparel,45,225,"$10,125.00","$3,037.50",30%,Online
Foot Locker,1128299,1/23/2021,West,Idaho,Boise,Women's Apparel,40,425,"$17,000.00","$4,250.00",25%,Online
Foot Locker,1128299,2/23/2021,West,Idaho,Boise,Men's Street Footwear,30,475,"$14,250.00","$4,987.50",35%,Online
Foot Locker,1128299,2/23/2021,West,Idaho,Boise,Men's Athletic Footwear,40,375,"$15,000.00","$6,000.00",40%,Online
Foot Locker,1128299,2/23/2021,West,Idaho,Boise,Women's Street Footwear,40,375,"$15,000.00","$5,250.00",35%,Online
Foot Locker,1128299,2/23/2021,West,Arizona,Phoenix,Women's Athletic Footwear,40,225,"$9,000.00","$3,150.00",35%,Online
Foot Locker,1128299,2/23/2021,West,Arizona,Phoenix,Men's Apparel,45,150,"$6,750.00","$2,025.00",30%,Online
Foot Locker,1128299,2/23/2021,West,Arizona,Phoenix,Women's Apparel,40,350,"$14,000.00","$3,500.00",25%,Online
Foot Locker,1128299,3/22/2021,West,Arizona,Phoenix,Men's Street Footwear,40,500,"$20,000.00","$7,000.00",35%,Online
Foot Locker,1128299,3/22/2021,West,Arizona,Phoenix,Men's Athletic Footwear,50,350,"$17,500.00","$7,000.00",40%,Online
Foot Locker,1128299,3/22/2021,West,Arizona,Phoenix,Women's Street Footwear,50,350,"$17,500.00","$6,125.00",35%,Online
Foot Locker,1128299,3/22/2021,West,Arizona,Phoenix,Women's Athletic Footwear,50,225,"$11,250.00","$3,937.50",35%,Online
Foot Locker,1128299,3/22/2021,West,Arizona,Phoenix,Men's Apparel,55,125,"$6,875.00","$2,062.50",30%,Online
Foot Locker,1128299,3/22/2021,West,Arizona,Phoenix,Women's Apparel,50,325,"$16,250.00","$4,062.50",25%,Online
Foot Locker,1128299,4/23/2021,West,Arizona,Phoenix,Men's Street Footwear,50,500,"$25,000.00","$8,750.00",35%,Online
Foot Locker,1128299,4/23/2021,West,Arizona,Phoenix,Men's Athletic Footwear,55,300,"$16,500.00","$6,600.00",40%,Online
Foot Locker,1128299,4/23/2021,West,Arizona,Phoenix,Women's Street Footwear,55,350,"$19,250.00","$6,737.50",35%,Online
Foot Locker,1128299,4/23/2021,West,Arizona,Phoenix,Women's Athletic Footwear,50,250,"$12,500.00","$4,375.00",35%,Online
Foot Locker,1128299,4/23/2021,West,Arizona,Phoenix,Men's Apparel,55,150,"$8,250.00","$2,475.00",30%,Online
Foot Locker,1128299,4/23/2021,West,Arizona,Phoenix,Women's Apparel,70,325,"$22,750.00","$5,687.50",25%,Online
Foot Locker,1128299,5/24/2021,West,Arizona,Phoenix,Men's Street Footwear,50,525,"$26,250.00","$9,187.50",35%,Online
Foot Locker,1128299,5/24/2021,West,Arizona,Phoenix,Men's Athletic Footwear,55,375,"$20,625.00","$8,250.00",40%,Online
Foot Locker,1128299,5/24/2021,West,Arizona,Phoenix,Women's Street Footwear,55,400,"$22,000.00","$7,700.00",35%,Online
Foot Locker,1128299,5/24/2021,West,Arizona,Phoenix,Women's Athletic Footwear,50,300,"$15,000.00","$5,250.00",35%,Online
Foot Locker,1128299,5/24/2021,West,Arizona,Phoenix,Men's Apparel,55,200,"$11,000.00","$3,300.00",30%,Online
Foot Locker,1128299,5/24/2021,West,Arizona,Phoenix,Women's Apparel,70,375,"$26,250.00","$6,562.50",25%,Online
Foot Locker,1128299,6/23/2021,West,Arizona,Phoenix,Men's Street Footwear,50,625,"$31,250.00","$10,937.50",35%,Online
Foot Locker,1128299,6/23/2021,West,Arizona,Phoenix,Men's Athletic Footwear,55,475,"$26,125.00","$10,450.00",40%,Online
Foot Locker,1128299,6/23/2021,West,Arizona,Phoenix,Women's Street Footwear,55,475,"$26,125.00","$9,143.75",35%,Online
Foot Locker,1128299,6/23/2021,West,Arizona,Phoenix,Women's Athletic Footwear,50,350,"$17,500.00","$6,125.00",35%,Online
Foot Locker,1128299,6/23/2021,West,Arizona,Phoenix,Men's Apparel,55,225,"$12,375.00","$3,712.50",30%,Online
Foot Locker,1128299,6/23/2021,West,Arizona,Phoenix,Women's Apparel,70,525,"$36,750.00","$9,187.50",25%,Online
Foot Locker,1128299,7/22/2021,West,Arizona,Phoenix,Men's Street Footwear,50,675,"$33,750.00","$11,812.50",35%,Online
Foot Locker,1128299,7/22/2021,West,Arizona,Phoenix,Men's Athletic Footwear,55,525,"$28,875.00","$11,550.00",40%,Online
Foot Locker,1128299,7/22/2021,West,Arizona,Phoenix,Women's Street Footwear,55,475,"$26,125.00","$9,143.75",35%,Online
Foot Locker,1128299,7/22/2021,West,Arizona,Phoenix,Women's Athletic Footwear,50,375,"$18,750.00","$6,562.50",35%,Online
Foot Locker,1128299,7/22/2021,West,Arizona,Phoenix,Men's Apparel,55,425,"$23,375.00","$7,012.50",30%,Online
Foot Locker,1128299,7/22/2021,West,Arizona,Phoenix,Women's Apparel,70,425,"$29,750.00","$7,437.50",25%,Online
Foot Locker,1128299,8/23/2021,West,Arizona,Phoenix,Men's Street Footwear,55,625,"$34,375.00","$12,031.25",35%,Online
Foot Locker,1128299,8/23/2021,West,Arizona,Phoenix,Men's Athletic Footwear,60,575,"$34,500.00","$13,800.00",40%,Online
Foot Locker,1128299,8/23/2021,West,Arizona,Phoenix,Women's Street Footwear,55,450,"$24,750.00","$8,662.50",35%,Online
Foot Locker,1128299,8/23/2021,West,Arizona,Phoenix,Women's Athletic Footwear,55,400,"$22,000.00","$7,700.00",35%,Online
Foot Locker,1128299,8/23/2021,West,Arizona,Phoenix,Men's Apparel,65,400,"$26,000.00","$7,800.00",30%,Online
Foot Locker,1128299,8/23/2021,West,Arizona,Phoenix,Women's Apparel,70,375,"$26,250.00","$6,562.50",25%,Online
Foot Locker,1128299,9/24/2021,West,Arizona,Phoenix,Men's Street Footwear,45,575,"$25,875.00","$9,056.25",35%,Online
Foot Locker,1128299,9/24/2021,West,Arizona,Phoenix,Men's Athletic Footwear,50,575,"$28,750.00","$11,500.00",40%,Online
Foot Locker,1128299,9/24/2021,West,Arizona,Phoenix,Women's Street Footwear,45,425,"$19,125.00","$6,693.75",35%,Online
Foot Locker,1128299,9/24/2021,West,Arizona,Phoenix,Women's Athletic Footwear,45,375,"$16,875.00","$5,906.25",35%,Online
Foot Locker,1128299,9/24/2021,West,Arizona,Phoenix,Men's Apparel,55,375,"$20,625.00","$6,187.50",30%,Online
Foot Locker,1128299,9/24/2021,West,Arizona,Phoenix,Women's Apparel,60,425,"$25,500.00","$6,375.00",25%,Online
Foot Locker,1128299,10/23/2021,West,Arizona,Phoenix,Men's Street Footwear,45,500,"$22,500.00","$7,875.00",35%,Online
Foot Locker,1128299,10/23/2021,West,Arizona,Phoenix,Men's Athletic Footwear,50,500,"$25,000.00","$10,000.00",40%,Online
Foot Locker,1128299,10/23/2021,West,Arizona,Phoenix,Women's Street Footwear,45,325,"$14,625.00","$5,118.75",35%,Online
Foot Locker,1128299,10/23/2021,West,Arizona,Phoenix,Women's Athletic Footwear,45,300,"$13,500.00","$4,725.00",35%,Online
Foot Locker,1128299,10/23/2021,West,Arizona,Phoenix,Men's Apparel,55,275,"$15,125.00","$4,537.50",30%,Online
Foot Locker,1128299,10/23/2021,West,Arizona,Phoenix,Women's Apparel,60,325,"$19,500.00","$4,875.00",25%,Online
Foot Locker,1128299,11/23/2021,West,Arizona,Phoenix,Men's Street Footwear,45,500,"$22,500.00","$7,875.00",35%,Online
Foot Locker,1128299,11/23/2021,West,Arizona,Phoenix,Men's Athletic Footwear,50,525,"$26,250.00","$10,500.00",40%,Online
Foot Locker,1128299,11/23/2021,West,Arizona,Phoenix,Women's Street Footwear,45,375,"$16,875.00","$5,906.25",35%,Online
Foot Locker,1128299,11/23/2021,West,Arizona,Phoenix,Women's Athletic Footwear,45,350,"$15,750.00","$5,512.50",35%,Online
Foot Locker,1128299,11/23/2021,West,Arizona,Phoenix,Men's Apparel,55,300,"$16,500.00","$4,950.00",30%,Online
Foot Locker,1128299,11/23/2021,West,Arizona,Phoenix,Women's Apparel,60,425,"$25,500.00","$6,375.00",25%,Online
Foot Locker,1128299,12/22/2021,West,Arizona,Phoenix,Men's Street Footwear,45,625,"$28,125.00","$9,843.75",35%,Online
Foot Locker,1128299,12/22/2021,West,Arizona,Phoenix,Men's Athletic Footwear,50,625,"$31,250.00","$12,500.00",40%,Online
Kohl's,1128299,12/22/2021,West,Arizona,Phoenix,Women's Street Footwear,45,425,"$19,125.00","$6,693.75",35%,Online
Kohl's,1128299,12/22/2021,West,Arizona,Phoenix,Women's Athletic Footwear,45,425,"$19,125.00","$6,693.75",35%,Online
Kohl's,1128299,12/22/2021,West,Arizona,Phoenix,Men's Apparel,55,350,"$19,250.00","$5,775.00",30%,Online
Kohl's,1128299,12/22/2021,West,Arizona,Phoenix,Women's Apparel,60,450,"$27,000.00","$6,750.00",25%,Online
Kohl's,1128299,1/26/2021,West,Arizona,Phoenix,Men's Street Footwear,35,475,"$16,625.00","$5,818.75",35%,Online
Kohl's,1128299,1/26/2021,West,Arizona,Phoenix,Men's Athletic Footwear,45,475,"$21,375.00","$8,550.00",40%,Online
Kohl's,1128299,1/26/2021,West,Arizona,Phoenix,Women's Street Footwear,45,475,"$21,375.00","$7,481.25",35%,Online
Kohl's,1128299,1/26/2021,West,Arizona,Phoenix,Women's Athletic Footwear,45,325,"$14,625.00","$5,118.75",35%,Online
